time,open,close,high,low
2020-02-02 22:00:00,0.66870,0.66852,0.66890,0.66852
2020-02-02 23:00:00,0.66854,0.66933,0.66961,0.66848
2020-02-03 00:00:00,0.66927,0.67006,0.67047,0.66893
2020-02-03 01:00:00,0.67006,0.66991,0.67057,0.66923
2020-02-03 02:00:00,0.66989,0.66911,0.67001,0.66843
2020-02-03 03:00:00,0.66911,0.66938,0.66938,0.66871
2020-02-03 04:00:00,0.66938,0.66956,0.66992,0.66924
2020-02-03 05:00:00,0.66955,0.67034,0.67048,0.66954
2020-02-03 06:00:00,0.67034,0.67018,0.67045,0.66967
2020-02-03 07:00:00,0.67019,0.67007,0.67074,0.66990
2020-02-03 08:00:00,0.67007,0.66931,0.67021,0.66906
2020-02-03 09:00:00,0.66931,0.66981,0.66985,0.66865
2020-02-03 10:00:00,0.66982,0.66926,0.66996,0.66905
2020-02-03 11:00:00,0.66927,0.66992,0.66993,0.66926
2020-02-03 12:00:00,0.66992,0.67007,0.67048,0.66973
2020-02-03 13:00:00,0.67006,0.66967,0.67029,0.66958
2020-02-03 14:00:00,0.66967,0.67027,0.67037,0.66933
2020-02-03 15:00:00,0.67027,0.66944,0.67075,0.66892
2020-02-03 16:00:00,0.66944,0.66876,0.66987,0.66843
2020-02-03 17:00:00,0.66875,0.66887,0.66899,0.66843
2020-02-03 18:00:00,0.66887,0.66919,0.66922,0.66885
2020-02-03 19:00:00,0.66919,0.66882,0.66922,0.66877
2020-02-03 20:00:00,0.66883,0.66889,0.66906,0.66874
2020-02-03 21:00:00,0.66889,0.66930,0.66938,0.66887
2020-02-03 22:00:00,0.66934,0.66906,0.66940,0.66898
2020-02-03 23:00:00,0.66905,0.66901,0.66933,0.66889
2020-02-04 00:00:00,0.66901,0.66859,0.66921,0.66830
2020-02-04 01:00:00,0.66860,0.66938,0.66967,0.66792
2020-02-04 02:00:00,0.66938,0.66884,0.66938,0.66854
2020-02-04 03:00:00,0.66884,0.67157,0.67254,0.66838
2020-02-04 04:00:00,0.67158,0.67187,0.67244,0.67135
2020-02-04 05:00:00,0.67186,0.67161,0.67213,0.67133
2020-02-04 06:00:00,0.67160,0.67252,0.67268,0.67156
2020-02-04 07:00:00,0.67248,0.67152,0.67253,0.67135
2020-02-04 08:00:00,0.67151,0.67210,0.67325,0.67126
2020-02-04 09:00:00,0.67209,0.67094,0.67214,0.67071
2020-02-04 10:00:00,0.67094,0.67100,0.67172,0.67064
2020-02-04 11:00:00,0.67099,0.67150,0.67173,0.67062
2020-02-04 12:00:00,0.67150,0.67236,0.67244,0.67143
2020-02-04 13:00:00,0.67236,0.67218,0.67253,0.67176
2020-02-04 14:00:00,0.67217,0.67333,0.67343,0.67216
2020-02-04 15:00:00,0.67334,0.67275,0.67339,0.67246
2020-02-04 16:00:00,0.67271,0.67319,0.67341,0.67261
2020-02-04 17:00:00,0.67319,0.67359,0.67387,0.67319
2020-02-04 18:00:00,0.67360,0.67345,0.67397,0.67335
2020-02-04 19:00:00,0.67346,0.67369,0.67377,0.67331
2020-02-04 20:00:00,0.67368,0.67387,0.67392,0.67351
2020-02-04 21:00:00,0.67387,0.67399,0.67424,0.67363
2020-02-04 22:00:00,0.67399,0.67409,0.67432,0.67385
2020-02-04 23:00:00,0.67409,0.67317,0.67410,0.67315
2020-02-05 00:00:00,0.67318,0.67328,0.67382,0.67310
2020-02-05 01:00:00,0.67328,0.67441,0.67443,0.67242
2020-02-05 02:00:00,0.67441,0.67360,0.67457,0.67336
2020-02-05 03:00:00,0.67361,0.67389,0.67391,0.67336
2020-02-05 04:00:00,0.67389,0.67378,0.67400,0.67356
2020-02-05 05:00:00,0.67378,0.67372,0.67390,0.67352
2020-02-05 06:00:00,0.67371,0.67376,0.67416,0.67356
2020-02-05 07:00:00,0.67374,0.67409,0.67445,0.67363
2020-02-05 08:00:00,0.67409,0.67606,0.67635,0.67365
2020-02-05 09:00:00,0.67605,0.67717,0.67748,0.67583
2020-02-05 10:00:00,0.67715,0.67677,0.67727,0.67655
2020-02-05 11:00:00,0.67678,0.67581,0.67703,0.67540
2020-02-05 12:00:00,0.67581,0.67648,0.67672,0.67550
2020-02-05 13:00:00,0.67648,0.67705,0.67715,0.67607
2020-02-05 14:00:00,0.67704,0.67556,0.67720,0.67530
2020-02-05 15:00:00,0.67556,0.67453,0.67580,0.67420
2020-02-05 16:00:00,0.67453,0.67483,0.67545,0.67444
2020-02-05 17:00:00,0.67482,0.67452,0.67488,0.67448
2020-02-05 18:00:00,0.67453,0.67470,0.67477,0.67442
2020-02-05 19:00:00,0.67470,0.67454,0.67472,0.67427
2020-02-05 20:00:00,0.67454,0.67449,0.67468,0.67445
2020-02-05 21:00:00,0.67451,0.67473,0.67478,0.67450
2020-02-05 22:00:00,0.67473,0.67472,0.67515,0.67467
2020-02-05 23:00:00,0.67472,0.67519,0.67530,0.67467
2020-02-06 00:00:00,0.67519,0.67543,0.67623,0.67445
2020-02-06 01:00:00,0.67543,0.67537,0.67631,0.67501
2020-02-06 02:00:00,0.67537,0.67502,0.67584,0.67482
2020-02-06 03:00:00,0.67503,0.67525,0.67562,0.67494
2020-02-06 04:00:00,0.67526,0.67596,0.67657,0.67521
2020-02-06 05:00:00,0.67596,0.67592,0.67616,0.67571
2020-02-06 06:00:00,0.67592,0.67559,0.67619,0.67555
2020-02-06 07:00:00,0.67559,0.67511,0.67563,0.67489
2020-02-06 08:00:00,0.67513,0.67495,0.67532,0.67447
2020-02-06 09:00:00,0.67495,0.67424,0.67516,0.67387
2020-02-06 10:00:00,0.67423,0.67435,0.67488,0.67420
2020-02-06 11:00:00,0.67436,0.67496,0.67508,0.67434
2020-02-06 12:00:00,0.67496,0.67568,0.67590,0.67490
2020-02-06 13:00:00,0.67567,0.67552,0.67587,0.67532
2020-02-06 14:00:00,0.67551,0.67427,0.67555,0.67420
2020-02-06 15:00:00,0.67428,0.67379,0.67442,0.67311
2020-02-06 16:00:00,0.67379,0.67378,0.67446,0.67334
2020-02-06 17:00:00,0.67377,0.67384,0.67397,0.67365
2020-02-06 18:00:00,0.67384,0.67354,0.67401,0.67350
2020-02-06 19:00:00,0.67355,0.67308,0.67357,0.67300
2020-02-06 20:00:00,0.67308,0.67294,0.67340,0.67282
2020-02-06 21:00:00,0.67295,0.67307,0.67322,0.67275
2020-02-06 22:00:00,0.67306,0.67333,0.67361,0.67300
2020-02-06 23:00:00,0.67333,0.67317,0.67367,0.67315
2020-02-07 00:00:00,0.67317,0.67208,0.67319,0.67142
2020-02-07 01:00:00,0.67207,0.67181,0.67226,0.67139
2020-02-07 02:00:00,0.67181,0.67146,0.67241,0.67126
2020-02-07 03:00:00,0.67146,0.67209,0.67220,0.67144
2020-02-07 04:00:00,0.67209,0.67174,0.67231,0.67170
2020-02-07 05:00:00,0.67174,0.67181,0.67211,0.67148
2020-02-07 06:00:00,0.67183,0.67219,0.67247,0.67153
2020-02-07 07:00:00,0.67220,0.67049,0.67224,0.67044
2020-02-07 08:00:00,0.67050,0.66987,0.67074,0.66946
2020-02-07 09:00:00,0.66989,0.66838,0.67004,0.66838
2020-02-07 10:00:00,0.66837,0.66793,0.66880,0.66727
2020-02-07 11:00:00,0.66792,0.66840,0.66860,0.66782
2020-02-07 12:00:00,0.66840,0.66851,0.66861,0.66827
2020-02-07 13:00:00,0.66850,0.66752,0.66853,0.66748
2020-02-07 14:00:00,0.66752,0.66717,0.66763,0.66627
2020-02-07 15:00:00,0.66719,0.66869,0.66900,0.66714
2020-02-07 16:00:00,0.66868,0.66787,0.66894,0.66764
2020-02-07 17:00:00,0.66788,0.66769,0.66799,0.66759
2020-02-07 18:00:00,0.66769,0.66749,0.66815,0.66745
2020-02-07 19:00:00,0.66750,0.66775,0.66780,0.66738
2020-02-07 20:00:00,0.66774,0.66779,0.66784,0.66743
2020-02-07 21:00:00,0.66779,0.66765,0.66798,0.66733
2020-02-09 22:00:00,0.66703,0.66746,0.66748,0.66687
2020-02-09 23:00:00,0.66746,0.66706,0.66793,0.66669
2020-02-10 00:00:00,0.66706,0.66799,0.66821,0.66684
2020-02-10 01:00:00,0.66798,0.66892,0.66908,0.66745
2020-02-10 02:00:00,0.66893,0.67028,0.67063,0.66877
2020-02-10 03:00:00,0.67028,0.67001,0.67066,0.66969
2020-02-10 04:00:00,0.67000,0.66977,0.67017,0.66958
2020-02-10 05:00:00,0.66978,0.67035,0.67046,0.66972
2020-02-10 06:00:00,0.67035,0.67048,0.67080,0.67006
2020-02-10 07:00:00,0.67048,0.66960,0.67066,0.66956
2020-02-10 08:00:00,0.66959,0.66966,0.66979,0.66886
2020-02-10 09:00:00,0.66966,0.66942,0.67005,0.66905
2020-02-10 10:00:00,0.66942,0.66947,0.67007,0.66921
2020-02-10 11:00:00,0.66946,0.66917,0.66962,0.66914
2020-02-10 12:00:00,0.66918,0.66857,0.66938,0.66841
2020-02-10 13:00:00,0.66857,0.66835,0.66941,0.66833
2020-02-10 14:00:00,0.66835,0.66870,0.66871,0.66780
2020-02-10 15:00:00,0.66869,0.66797,0.66939,0.66778
2020-02-10 16:00:00,0.66798,0.66750,0.66810,0.66730
2020-02-10 17:00:00,0.66749,0.66739,0.66772,0.66725
2020-02-10 18:00:00,0.66740,0.66766,0.66776,0.66734
2020-02-10 19:00:00,0.66766,0.66792,0.66817,0.66744
2020-02-10 20:00:00,0.66794,0.66818,0.66832,0.66792
2020-02-10 21:00:00,0.66819,0.66872,0.66875,0.66814
2020-02-10 22:00:00,0.66874,0.66856,0.66883,0.66844
2020-02-10 23:00:00,0.66857,0.66900,0.66921,0.66846
2020-02-11 00:00:00,0.66902,0.66945,0.66954,0.66814
2020-02-11 01:00:00,0.66945,0.67009,0.67077,0.66933
2020-02-11 02:00:00,0.67009,0.67064,0.67084,0.66972
2020-02-11 03:00:00,0.67063,0.67100,0.67104,0.67043
2020-02-11 04:00:00,0.67100,0.67093,0.67111,0.67055
2020-02-11 05:00:00,0.67093,0.67155,0.67155,0.67085
2020-02-11 06:00:00,0.67156,0.67163,0.67197,0.67154
2020-02-11 07:00:00,0.67163,0.67100,0.67163,0.67085
2020-02-11 08:00:00,0.67098,0.67110,0.67148,0.67068
2020-02-11 09:00:00,0.67110,0.67071,0.67122,0.67051
2020-02-11 10:00:00,0.67072,0.67093,0.67101,0.67042
2020-02-11 11:00:00,0.67092,0.67076,0.67100,0.67062
2020-02-11 12:00:00,0.67077,0.67078,0.67121,0.67046
2020-02-11 13:00:00,0.67078,0.67110,0.67111,0.66997
2020-02-11 14:00:00,0.67110,0.67301,0.67303,0.67092
2020-02-11 15:00:00,0.67301,0.67217,0.67372,0.67204
2020-02-11 16:00:00,0.67217,0.67118,0.67238,0.67099
2020-02-11 17:00:00,0.67119,0.67126,0.67161,0.67107
2020-02-11 18:00:00,0.67127,0.67088,0.67162,0.67086
2020-02-11 19:00:00,0.67088,0.67149,0.67150,0.67088
2020-02-11 20:00:00,0.67148,0.67135,0.67150,0.67119
2020-02-11 21:00:00,0.67143,0.67168,0.67168,0.67129
2020-02-11 22:00:00,0.67164,0.67157,0.67164,0.67136
2020-02-11 23:00:00,0.67157,0.67192,0.67217,0.67132
2020-02-12 00:00:00,0.67192,0.67208,0.67210,0.67130
2020-02-12 01:00:00,0.67209,0.67312,0.67343,0.67199
2020-02-12 02:00:00,0.67313,0.67343,0.67382,0.67293
2020-02-12 03:00:00,0.67343,0.67298,0.67343,0.67297
2020-02-12 04:00:00,0.67299,0.67278,0.67314,0.67275
2020-02-12 05:00:00,0.67278,0.67280,0.67351,0.67275
2020-02-12 06:00:00,0.67279,0.67267,0.67307,0.67241
2020-02-12 07:00:00,0.67269,0.67313,0.67347,0.67243
2020-02-12 08:00:00,0.67313,0.67447,0.67493,0.67300
2020-02-12 09:00:00,0.67446,0.67396,0.67446,0.67380
2020-02-12 10:00:00,0.67397,0.67441,0.67454,0.67390
2020-02-12 11:00:00,0.67440,0.67463,0.67478,0.67426
2020-02-12 12:00:00,0.67463,0.67483,0.67491,0.67428
2020-02-12 13:00:00,0.67483,0.67406,0.67489,0.67402
2020-02-12 14:00:00,0.67406,0.67411,0.67450,0.67380
2020-02-12 15:00:00,0.67411,0.67452,0.67470,0.67338
2020-02-12 16:00:00,0.67454,0.67462,0.67504,0.67431
2020-02-12 17:00:00,0.67461,0.67398,0.67463,0.67389
2020-02-12 18:00:00,0.67397,0.67405,0.67423,0.67389
2020-02-12 19:00:00,0.67405,0.67360,0.67415,0.67344
2020-02-12 20:00:00,0.67358,0.67376,0.67376,0.67339
2020-02-12 21:00:00,0.67376,0.67378,0.67385,0.67364
2020-02-12 22:00:00,0.67392,0.67352,0.67394,0.67345
2020-02-12 23:00:00,0.67352,0.67138,0.67359,0.67074
2020-02-13 00:00:00,0.67139,0.67186,0.67258,0.67105
2020-02-13 01:00:00,0.67185,0.67271,0.67318,0.67177
2020-02-13 02:00:00,0.67272,0.67222,0.67294,0.67219
2020-02-13 03:00:00,0.67223,0.67209,0.67266,0.67200
2020-02-13 04:00:00,0.67209,0.67184,0.67241,0.67171
2020-02-13 05:00:00,0.67184,0.67198,0.67204,0.67142
2020-02-13 06:00:00,0.67198,0.67165,0.67209,0.67121
2020-02-13 07:00:00,0.67164,0.67235,0.67253,0.67143
2020-02-13 08:00:00,0.67235,0.67356,0.67366,0.67225
2020-02-13 09:00:00,0.67356,0.67270,0.67379,0.67240
2020-02-13 10:00:00,0.67271,0.67273,0.67326,0.67218
2020-02-13 11:00:00,0.67273,0.67272,0.67307,0.67247
2020-02-13 12:00:00,0.67272,0.67313,0.67335,0.67269
2020-02-13 13:00:00,0.67314,0.67346,0.67375,0.67303
2020-02-13 14:00:00,0.67347,0.67383,0.67453,0.67325
2020-02-13 15:00:00,0.67385,0.67325,0.67402,0.67296
2020-02-13 16:00:00,0.67325,0.67290,0.67363,0.67270
2020-02-13 17:00:00,0.67290,0.67237,0.67307,0.67236
2020-02-13 18:00:00,0.67237,0.67247,0.67252,0.67211
2020-02-13 19:00:00,0.67247,0.67247,0.67263,0.67227
2020-02-13 20:00:00,0.67246,0.67198,0.67255,0.67180
2020-02-13 21:00:00,0.67197,0.67199,0.67207,0.67176
2020-02-13 22:00:00,0.67199,0.67173,0.67203,0.67168
2020-02-13 23:00:00,0.67172,0.67195,0.67204,0.67103
2020-02-14 00:00:00,0.67197,0.67202,0.67211,0.67135
2020-02-14 01:00:00,0.67201,0.67240,0.67267,0.67182
2020-02-14 02:00:00,0.67240,0.67303,0.67306,0.67211
2020-02-14 03:00:00,0.67305,0.67227,0.67319,0.67217
2020-02-14 04:00:00,0.67226,0.67170,0.67236,0.67169
2020-02-14 05:00:00,0.67170,0.67202,0.67205,0.67170
2020-02-14 06:00:00,0.67203,0.67182,0.67218,0.67180
2020-02-14 07:00:00,0.67181,0.67293,0.67299,0.67169
2020-02-14 08:00:00,0.67293,0.67262,0.67293,0.67244
2020-02-14 09:00:00,0.67262,0.67238,0.67273,0.67220
2020-02-14 10:00:00,0.67237,0.67181,0.67252,0.67167
2020-02-14 11:00:00,0.67182,0.67126,0.67198,0.67110
2020-02-14 12:00:00,0.67127,0.67152,0.67168,0.67119
2020-02-14 13:00:00,0.67152,0.67230,0.67258,0.67108
2020-02-14 14:00:00,0.67229,0.67173,0.67263,0.67169
2020-02-14 15:00:00,0.67171,0.67171,0.67193,0.67124
2020-02-14 16:00:00,0.67171,0.67191,0.67201,0.67143
2020-02-14 17:00:00,0.67190,0.67142,0.67193,0.67129
2020-02-14 18:00:00,0.67141,0.67109,0.67153,0.67101
2020-02-14 19:00:00,0.67110,0.67111,0.67127,0.67097
2020-02-14 20:00:00,0.67111,0.67155,0.67157,0.67111
2020-02-14 21:00:00,0.67157,0.67157,0.67160,0.67129
